타임스탬프,이름,좋아하는 친구
2024-01-01,김철수,홍길동;이영희;박지성
2024-01-01,홍길동,김철수;이영희;최민수
2024-01-01,이영희,김철수;홍길동;정수민
2024-01-01,박지성,홍길동;최민수;김지훈
2024-01-01,최민수,이영희;정수민;박지훈
2024-01-01,정수민,이영희;최민수;박지훈
2024-01-01,김지훈,박지성;장미란;임재성
2024-01-01,박지훈,최민수;정수민;장미란
2024-01-01,장미란,김지훈;박지훈;임재성
2024-01-01,임재성,김지훈;장미란;이준혁
2024-01-01,이준혁,임재성;강지민;조아라
2024-01-01,강지민,이준혁;조아라;윤서연
2024-01-01,조아라,이준혁;강지민;윤서연
2024-01-01,윤서연,강지민;조아라;한지수
2024-01-01,한지수,윤서연;송민주;백승호
2024-01-01,송민주,한지수;백승호;오다은
2024-01-01,백승호,한지수;송민주;오다은
2024-01-01,오다은,송민주;백승호;노현우
2024-01-01,노현우,오다은;황지원;김철수
2024-01-01,황지원,노현우;오다은;홍길동 
